Signals=time	schematic1.osc	schematic1.direccion	schematic1.eprom_insreg	schematic1.insreg_deco	schematic1.deco_alu	schematic1.constate_mux	schematic1.entrada_b	schematic1.entrada_alu	schematic1.wreg_alu	schematic1.ir_addmux_direct	schematic1.bus_datos	schematic1.alu_status	schematic1.bit_opera	schematic1.n05060	schematic1.n02391	schematic1.n02384	schematic1.n10878	schematic1.n20956	schematic1.n10838
Radix=ns	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex
Type	IN	IN	I/O	I/O	I/O	I/O	IN	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O
Width	1	13	14	7	5	8	8	8	8	7	8	3	3	1	1	1	1	1	1
       460	'0'	0006	0A00	14	0E	00	0F	0F	0E	00	0E	X	5	'0'	'0'	'1'	'0'	'0'	'1'
       470	'1'	0006	0A00	14	0E	00	0F	0F	0E	00	0E	X	5	'0'	'0'	'0'	'1'	'0'	'1'
       480	'0'	0007	0A00	14	0E	00	0F	0F	0E	00	0E	X	5	'0'	'0'	'0'	'1'	'0'	'1'
       490	'1'	0007	0F00	1E	0D	00	0F	0F	0E	00	0E	X	7	'1'	'0'	'0'	'0'	'0'	'1'
       500	'0'	0007	0F00	1E	0D	00	0F	0F	0E	00	0E	X	7	'1'	'0'	'0'	'0'	'0'	'1'
       510	'1'	0007	0F00	1E	0D	00	0F	0F	0E	00	0E	X	7	'0'	'1'	'0'	'0'	'0'	'1'
       520	'0'	0007	0F00	1E	0D	00	0F	0F	0E	00	0E	X	7	'0'	'1'	'0'	'0'	'0'	'1'
       530	'1'	0007	0F00	1E	0D	00	0F	0F	0E	00	10	X	7	'0'	'0'	'1'	'0'	'0'	'1'
       540	'0'	0007	0F00	1E	0D	00	0F	0F	0E	00	10	X	7	'0'	'0'	'1'	'0'	'0'	'1'
       550	'1'	0007	0F00	1E	0D	00	0F	0F	0E	00	10	X	7	'0'	'0'	'0'	'1'	'0'	'1'
       560	'0'	0008	0F00	1E	0D	00	0F	0F	0E	00	10	X	7	'0'	'0'	'0'	'1'	'0'	'1'
