Signals=time	schematic1.osc	schematic1.direccion	schematic1.eprom_insreg	schematic1.insreg_deco	schematic1.deco_alu	schematic1.constate_mux	schematic1.entrada_b	schematic1.entrada_alu	schematic1.wreg_alu	schematic1.ir_addmux_direct	schematic1.bus_datos	schematic1.alu_status	schematic1.bit_opera	schematic1.n05060	schematic1.n02391	schematic1.n02384	schematic1.n10878	schematic1.n20956	schematic1.n10838
Radix=ns	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex
Type	IN	IN	I/O	I/O	I/O	I/O	IN	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O
Width	1	13	14	7	5	8	8	8	8	7	8	3	3	1	1	1	1	1	1
      2080	'0'	001B	2800	50	01	00	0F	0F	10	00	10	X	4	'0'	'0'	'0'	'1'	'0'	'0'
      2090	'1'	001B	3800	70	18	00	0F	0F	10	00	10	X	4	'1'	'0'	'0'	'0'	'1'	'0'
      2100	'0'	001B	3800	70	18	00	0F	0F	10	00	10	X	4	'1'	'0'	'0'	'0'	'1'	'0'
      2110	'1'	001B	3800	70	18	00	0F	0F	10	00	10	X	4	'0'	'1'	'0'	'0'	'1'	'0'
      2120	'0'	001B	3800	70	18	00	0F	0F	10	00	10	X	4	'0'	'1'	'0'	'0'	'1'	'0'
      2130	'1'	001B	3800	70	18	00	0F	00	10	00	10	X	4	'0'	'0'	'1'	'0'	'1'	'0'
      2140	'0'	001B	3800	70	18	00	0F	00	10	00	10	X	4	'0'	'0'	'1'	'0'	'1'	'0'
      2150	'1'	001B	3800	70	18	00	0F	00	10	00	10	X	4	'0'	'0'	'0'	'1'	'1'	'0'
      2160	'0'	001C	3800	70	18	00	0F	00	10	00	10	X	4	'0'	'0'	'0'	'1'	'1'	'0'
      2170	'1'	001C	3000	60	1C	00	0F	00	10	00	10	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      2180	'0'	001C	3000	60	1C	00	0F	00	10	00	10	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      2190	'1'	001C	3000	60	1C	00	0F	00	10	00	10	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      2200	'0'	001C	3000	60	1C	00	0F	00	10	00	10	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      2210	'1'	001C	3000	60	1C	00	0F	00	10	00	10	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      2220	'0'	001C	3000	60	1C	00	0F	00	10	00	10	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      2230	'1'	001C	3000	60	1C	00	0F	00	10	00	10	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      2240	'0'	001D	3000	60	1C	00	0F	00	10	00	10	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      2250	'1'	001D	0009	00	1E	09	0F	00	10	09	10	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      2260	'0'	001D	0009	00	1E	09	0F	00	10	09	10	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      2270	'1'	001D	0009	00	1E	09	0F	00	10	09	10	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      2280	'0'	001D	0009	00	1E	09	0F	00	10	09	10	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      2290	'1'	001D	0009	00	1E	09	0F	09	10	09	00	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      2300	'0'	001D	0009	00	1E	09	0F	09	10	09	00	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      2310	'1'	001D	0009	00	1E	09	0F	09	10	09	09	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      2320	'0'	001E	0009	00	1E	09	0F	09	10	09	09	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      2330	'1'	001E	3400	68	01	00	0F	09	10	00	09	X	2	'1'	'0'	'0'	'0'	'0'	'0'
      2340	'0'	001E	3400	68	01	00	0F	09	10	00	09	X	2	'1'	'0'	'0'	'0'	'0'	'0'
      2350	'1'	001E	3400	68	01	00	0F	09	09	00	09	X	2	'0'	'1'	'0'	'0'	'0'	'0'
      2360	'0'	001E	3400	68	01	00	0F	09	09	00	09	X	2	'0'	'1'	'0'	'0'	'0'	'0'
      2370	'1'	001E	3400	68	01	00	0F	0F	09	00	09	X	2	'0'	'0'	'1'	'0'	'0'	'0'
      2380	'0'	001E	3400	68	01	00	0F	0F	09	00	09	X	2	'0'	'0'	'1'	'0'	'0'	'0'
      2390	'1'	001E	3400	68	01	00	0F	0F	09	00	09	X	2	'0'	'0'	'0'	'1'	'0'	'0'
      2400	'0'	001F	3400	68	01	00	0F	0F	09	00	09	X	2	'0'	'0'	'0'	'1'	'0'	'0'
      2410	'1'	001F	0008	00	01	08	0F	0F	09	08	09	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      2420	'0'	001F	0008	00	01	08	0F	0F	09	08	09	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      2430	'1'	001F	0008	00	01	08	0F	0F	09	08	09	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      2440	'0'	001F	0008	00	01	08	0F	0F	09	08	09	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      2450	'1'	001F	0008	00	01	08	0F	08	09	08	09	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      2460	'0'	001F	0008	00	01	08	0F	08	09	08	09	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      2470	'1'	001F	0008	00	01	08	0F	08	09	08	09	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      2480	'0'	0020	0008	00	01	08	0F	08	09	08	09	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      2490	'1'	0020	0063	00	01	63	0F	08	09	63	09	X	0	'1'	'0'	'0'	'0'	'0'	'0'
      2500	'0'	0020	0063	00	01	63	0F	08	09	63	09	X	0	'1'	'0'	'0'	'0'	'0'	'0'
      2510	'1'	0020	0063	00	01	63	0F	08	09	63	09	X	0	'0'	'1'	'0'	'0'	'0'	'0'
      2520	'0'	0020	0063	00	01	63	0F	08	09	63	09	X	0	'0'	'1'	'0'	'0'	'0'	'0'
      2530	'1'	0020	0063	00	01	63	0F	0F	09	63	09	X	0	'0'	'0'	'1'	'0'	'0'	'0'
      2540	'0'	0020	0063	00	01	63	0F	0F	09	63	09	X	0	'0'	'0'	'1'	'0'	'0'	'0'
      2550	'1'	0020	0063	00	01	63	0F	0F	09	63	09	X	0	'0'	'0'	'0'	'1'	'0'	'0'
      2560	'0'	0021	0063	00	01	63	0F	0F	09	63	09	X	0	'0'	'0'	'0'	'1'	'0'	'0'
      2570	'1'	0021	3C00	78	01	00	0F	0F	09	00	09	X	6	'1'	'0'	'0'	'0'	'0'	'0'
      2580	'0'	0021	3C00	78	01	00	0F	0F	09	00	09	X	6	'1'	'0'	'0'	'0'	'0'	'0'
      2590	'1'	0021	3C00	78	01	00	0F	0F	09	00	09	X	6	'0'	'1'	'0'	'0'	'0'	'0'
      2600	'0'	0021	3C00	78	01	00	0F	0F	09	00	09	X	6	'0'	'1'	'0'	'0'	'0'	'0'
      2610	'1'	0021	3C00	78	01	00	0F	0F	09	00	09	X	6	'0'	'0'	'1'	'0'	'0'	'0'
      2620	'0'	0021	3C00	78	01	00	0F	0F	09	00	09	X	6	'0'	'0'	'1'	'0'	'0'	'0'
      2630	'1'	0021	3C00	78	01	00	0F	0F	09	00	09	X	6	'0'	'0'	'0'	'1'	'0'	'0'
      2640	'0'	0022	3C00	78	01	00	0F	0F	09	00	09	X	6	'0'	'0'	'0'	'1'	'0'	'0'
      2650	'1'	0022	3A00	74	1A	00	0F	0F	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2660	'0'	0022	3A00	74	1A	00	0F	0F	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2670	'1'	0022	3A00	74	1A	00	0F	0F	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      2680	'0'	0022	3A00	74	1A	00	0F	0F	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      2690	'1'	0022	3A00	74	1A	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      2700	'0'	0022	3A00	74	1A	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      2710	'1'	0022	3A00	74	1A	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      2720	'0'	0022	3A00	74	1A	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      2730	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2740	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2750	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      2760	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      2770	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      2780	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      2790	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      2800	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      2810	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2820	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2830	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      2840	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      2850	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      2860	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      2870	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      2880	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      2890	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2900	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2910	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      2920	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      2930	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      2940	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      2950	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      2960	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      2970	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2980	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      2990	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3000	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3010	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3020	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3030	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3040	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3050	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3060	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3070	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3080	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3090	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3100	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3110	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3120	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3130	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3140	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3150	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3160	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3170	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3180	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3190	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3200	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3210	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3220	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3230	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3240	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3250	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3260	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3270	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3280	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3290	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3300	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3310	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3320	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3330	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3340	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3350	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3360	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3370	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3380	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3390	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3400	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3410	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3420	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3430	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3440	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3450	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3460	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3470	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3480	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3490	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3500	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3510	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3520	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3530	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3540	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3550	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3560	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3570	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3580	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3590	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3600	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3610	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3620	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3630	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3640	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3650	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3660	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3670	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3680	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3690	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3700	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3710	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3720	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3730	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3740	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3750	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3760	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3770	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3780	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3790	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3800	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3810	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3820	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3830	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3840	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3850	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3860	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3870	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3880	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3890	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3900	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3910	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3920	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      3930	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3940	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      3950	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3960	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      3970	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3980	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      3990	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      4000	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      4010	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      4020	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      4030	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      4040	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      4050	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      4060	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      4070	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      4080	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      4090	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      4100	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      4110	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      4120	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      4130	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      4140	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      4150	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      4160	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      4170	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      4180	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      4190	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      4200	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      4210	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      4220	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      4230	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      4240	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'0'	'1'	'1'	'0'
      4250	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      4260	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'1'	'0'	'0'	'0'	'1'	'0'
      4270	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      4280	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'1'	'0'	'0'	'1'	'0'
      4290	'1'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
      4300	'0'	0022	3A00	74	1B	00	0F	00	09	00	09	X	5	'0'	'0'	'1'	'0'	'1'	'0'
